wavelength,Back_EunCamf,Belly_EunCamf,Breast_EunCamf,Crissum_EunCamf,Crown_EunCamf,DorTail_EunCamf,Rump_EunCamf,Throat_EunCamf,WingTip_EunCamf
204.60,67.1429333334,65.3967333333,46.0316666667,7.619,2.38093333332,50.3174,104.285866667,31.7459,20.4761333333
204.98,62.174,67.1014666667,45.3623333333,13.1884666667,9.27526666667,46.5217333333,96.2318,37.1738666666,21.3043333333
205.36,44.0252,48.5534,30.6918666667,1.88686666666,0.125866666648,29.1823333333,79.1194666667,18.9937666667,7.29559999991
205.74,49.1668,52.7778666667,36.6666666667,13.9815333333,13.1482,31.0184666667,71.111,30.0926,16.4816
206.12,48.7272666667,56.8484666667,44.4849333333,3.87886666666,7.75753333334,23.5152,77.8181333333,33.2121,17.8183333333
206.50,45.0406666667,64.5528666667,57.3983333334,-3.90240000008,-0.65040000002,17.3982666667,83.2519333333,39.5121,-1.30086666674
206.87,60.0,211.333333333,137.333333333,-108.666666667,-94.6666666666,-30.6666666665,207.333333333,88.0,-92.6666666665
207.25,406.666666666,1866.66666666,653.333333333,-1800.0,-1460.0,-519.999999999,1566.66666667,306.666666667,-1286.66666667
207.63,118.666666667,253.333333333,90.6666666665,-108.0,-88.0000000001,-5.3333333334,196.0,70.9999999999,-102.0
208.01,90.7407333333,165.185066667,72.5925333335,-35.1852000002,-21.1109999999,32.5926666667,148.888933333,64.2592666667,-35.1852666665
208.39,64.2424666665,120.808133333,64.6464666666,10.5049999999,24.0404,36.5656666667,108.0808,56.7675666667,-0.808133333326
208.77,63.1580000001,117.017466667,60.1754000001,12.4560666667,33.6842,35.965,99.2983333333,59.9999666667,10.7018666667
209.14,46.8688000001,116.7676,44.0404000001,-8.88893333326,20.0,21.6161333333,92.5253333335,40.8080333333,-31.9191333332
209.52,42.8787333333,101.666666667,46.3637333334,4.39399999998,27.8788,28.7878666667,78.1816666667,46.2880333333,-16.6668
209.90,27.9278,104.684666667,51.8918666666,-7.0270666666,29.7296666667,32.7928,71.171,42.3425,-37.6577333333
210.28,-10.7246666666,122.318933333,37.1011999999,-47.8261333333,11.3041333333,-9.85506666665,63.4781999999,14.6377666667,-121.1594
210.66,-16.6666666665,122.666666666,22.9999999999,-67.6666666665,12.6666666667,-18.6666666666,87.0000000001,19.6666666667,-143.0
211.03,-5.33333333326,75.6189333333,18.857,-23.2381333335,35.4286000001,-5.52386666667,65.3332666666,35.4285666665,-61.5238666667
211.41,5.03693333335,68.8889333333,30.5184666667,-7.99999999994,53.1852,1.77793333333,56.1482666667,50.3703999999,-40.8887333333
211.79,-60.2564666667,59.7436,1.02553333334,-82.0512666668,43.3332666667,-61.2821333334,33.846,35.6411333333,-122.8206
212.17,-217.777733333,18.2221333333,-83.9998666666,-216.444466667,-23.1110666665,-208.888866667,-47.5555333333,-21.9999333333,-307.111133333
212.55,-2056.66666667,-283.333333334,-1286.66666667,-2230.0,-693.333333332,-2140.0,-1173.33333333,-961.666666667,-2783.33333333
212.92,4893.33333333,1226.66666667,3540.0,4793.33333334,1853.33333333,4906.66666667,2826.66666666,2513.33333333,6100.0
213.30,1066.66666667,364.0,820.0,1065.33333333,521.333333333,1137.33333333,632.000000001,634.666666667,1264.0
213.68,246.0,129.111133333,201.1112,250.888866667,160.888866666,266.4444,172.888866667,172.777733333,267.555466667
214.06,192.000066667,123.2592,170.074066667,201.037,141.481466667,214.074066667,152.1482,148.5185,211.111066667
214.44,428.75,246.25,395.0,479.166666667,302.5,503.333333333,343.333333333,341.875,481.666666667
214.81,1086.6666,562.222133333,1004.4444,1188.88886667,721.111133334,1274.4444,888.888866666,888.888966667,1182.2222
215.19,380.784266667,190.5882,347.843133333,420.392133333,276.8628,438.8236,312.156933333,334.313666667,421.960866667
215.57,380.701733333,190.877266667,337.894733333,402.806933333,288.421,417.894866667,285.613933333,334.912166667,403.5088
215.95,570.303133333,278.787933333,469.091,571.515066667,421.212133333,612.1212,384.2424,517.272766666,638.1818
216.32,920.000000001,381.111,763.333266665,923.333333333,681.111066667,1056.66666667,662.222200001,928.888900001,1051.11093333
216.70,-512.0,-192.666666667,-358.666666667,-471.333333334,-350.666666667,-586.666666667,-330.666666667,-462.666666666,-562.666666667
